nombre,cuenta,username,followers,engagementRate
Isabel Macedo,https://www.instagram.com/isabelmacedophoto,isabelmacedophoto,"1,890,716",1.70%
AILÉN Ъechara,https://www.instagram.com/ailen_bechara,ailen_bechara,"1,889,825",1.10%
COSITO DE LA PIZZA,https://www.instagram.com/el_coso_de_la_pizza,el_coso_de_la_pizza,"1,880,497",1.40%
Nico Furtado,https://www.instagram.com/furtadonico,furtadonico,"1,856,217",3.20%
micaela tinelli,https://www.instagram.com/micatinelli,micatinelli,"1,846,140",1.50%
Jesica Cirio,https://www.instagram.com/jesicacirio,jesicacirio,"1,838,405",0.80%
Juan Martin del Potro,https://www.instagram.com/delpotrojuan,delpotrojuan,"1,827,592",6.90%
Griselda Siciliani,https://www.instagram.com/griseldasiciliani,griseldasiciliani,"1,816,774",1.10%
Ivana Nadal,https://www.instagram.com/ivinadal,ivinadal,"1,812,587",3.60%
dario barassi,https://www.instagram.com/dariobarassi,dariobarassi,"1,787,493",1.10%
Daniela Viaggiamari (La Chepi),https://www.instagram.com/danilachepi,danilachepi,"1,774,354",3.60%
Maria Becerra,https://www.instagram.com/maria_becerra22,maria_becerra22,"1,767,570",13.90%
Federico Bal,https://www.instagram.com/balfederico,balfederico,"1,756,279",0.60%
Marito Baracus,https://www.instagram.com/maritobaracus,maritobaracus,"1,753,892",5.30%
ORO JOVEN,https://www.instagram.com/eckoyg,eckoyg,"1,690,853",11.70%
Mufi,https://www.instagram.com/mufalsa,mufalsa,"1,655,680",1.70%
Candela Ruggeri,https://www.instagram.com/caleruggeri,caleruggeri,"1,636,939",1.20%
Rocio Guirao Diaz,https://www.instagram.com/rocioguiraodiaz,rocioguiraodiaz,"1,613,430",0.60%
*BELU LUCIUS*,https://www.instagram.com/belulucius,belulucius,"1,565,628",5%
Diego Pablo Simeone,https://www.instagram.com/simeone,simeone,"1,553,086",3.10%
E͙V͙A͙ A͙N͙D͙E͙R͙S͙O͙N͙,https://www.instagram.com/evangelinaanderson,evangelinaanderson,"1,536,249",2.70%
Luciano Castro,https://www.instagram.com/castrolucianook,castrolucianook,"1,533,014",3.70%
Gaston Soffritti,https://www.instagram.com/gsoffritti,gsoffritti,"1,503,768",1.80%
Carla Peterson,https://www.instagram.com/petersoncarla,petersoncarla,"1,489,418",0.90%
Stefano De Gregorio,https://www.instagram.com/yeyitodegregorio,yeyitodegregorio,"1,486,504",3.20%
VL,https://www.instagram.com/verolozanovl,verolozanovl,"1,450,917",0.50%
Lucas Castel,https://www.instagram.com/lucascastelnuovo,lucascastelnuovo,"1,440,927",6.80%
Candela Vetrano,https://www.instagram.com/candelivetrano,candelivetrano,"1,440,525",2%
Valen,https://www.instagram.com/valenmadanes,valenmadanes,"1,434,251",13.40%
Planeta Gol,https://www.instagram.com/planeta.gol,planeta.gol,"1,415,544",4.60%
Luciano Pereyra,https://www.instagram.com/lucianopereyraoficial,lucianopereyraoficial,"1,410,932",3.10%
Susana Gimenez,https://www.instagram.com/gimenezsuok,gimenezsuok,"1,380,395",4.20%
Agustina Cherri,https://www.instagram.com/agustinacherriok,agustinacherriok,"1,380,378",2.70%
Lena,https://www.instagram.com/malena.narvay,malena.narvay,"1,375,665",5.70%
e m i l i a   a t t i a s,https://www.instagram.com/emilia_att,emilia_att,"1,373,447",2.40%
Araceli Gonzalez,https://www.instagram.com/araceligonzalez67,araceligonzalez67,"1,357,816",0.60%
Facundo Gambandé,https://www.instagram.com/facugamba,facugamba,"1,351,838",0.70%
Virginia Gallardo,https://www.instagram.com/virchugallardo,virchugallardo,"1,340,494",1.30%
Cristian Pavon,https://www.instagram.com/kichanpavon,kichanpavon,"1,332,248",14.60%
Sofi Jujuy,https://www.instagram.com/sofijuok,sofijuok,"1,331,421",1.50%
Locos X el Asado,https://www.instagram.com/locosxelasado,locosxelasado,"1,325,499",1.30%
NATI JOTA 🎪🦄🤷🏼‍♀️,https://www.instagram.com/natijota,natijota,"1,321,974",3.80%
Agustín Aristarán,https://www.instagram.com/soyradagast,soyradagast,"1,320,639",1.60%
Rodrigo Guirao,https://www.instagram.com/rodrigoguirao,rodrigoguirao,"1,319,668",2.40%
Leonardo Ponzio,https://www.instagram.com/leoponzio_ok,leoponzio_ok,"1,319,372",6%
Jua Repetto,https://www.instagram.com/juanarepettook,juanarepettook,"1,315,451",2%
Luciana Salazar,https://www.instagram.com/salazarluli,salazarluli,"1,297,516",4.30%
Juliana Awada,https://www.instagram.com/juliana.awada,juliana.awada,"1,278,777",6.10%
Pablo Granados,https://www.instagram.com/pablo_grana,pablo_grana,"1,254,958",1.50%
Magalí Tajes,https://www.instagram.com/magalitajes,magalitajes,"1,216,965",7.20%
EL DEMENTE,https://www.instagram.com/dementeyt,dementeyt,"1,212,929",29.10%
Chapu Martinez,https://www.instagram.com/chapumartinez,chapumartinez,"1,209,437",7.40%
Delfina Chaves,https://www.instagram.com/delfichaves,delfichaves,"1,207,427",13%
Nazarena Velez,https://www.instagram.com/nazarenavelez,nazarenavelez,"1,189,446",0.50%
S T E F  R O I T M A N 🇦🇷,https://www.instagram.com/stefroitman,stefroitman,"1,186,688",5.70%
Nicole Neumann,https://www.instagram.com/nikitaneumannoficial,nikitaneumannoficial,"1,186,328",1.70%
F L O R  B E R T O T T I 🎪,https://www.instagram.com/florbertottiok,florbertottiok,"1,185,966",1%
elchatoprada,https://www.instagram.com/elchatoprada,elchatoprada,"1,177,085",0.50%
EMILIA,https://www.instagram.com/emimernes,emimernes,"1,171,505",14.10%
Migue Granados 🍿,https://www.instagram.com/miguegrana,miguegrana,"1,159,992",2.70%
Esteban Lamothe,https://www.instagram.com/estebanlamothe,estebanlamothe,"1,158,666",2.70%
Gonzalo Goette,https://www.instagram.com/gonzalogoette,gonzalogoette,"1,158,550",5.70%
pity martinez,https://www.instagram.com/pity_martinez,pity_martinez,"1,136,192",24.90%
Moria Casán,https://www.instagram.com/moria_laone,moria_laone,"1,131,670",0.10%
Floppy Tesouro,https://www.instagram.com/floppytesouro,floppytesouro,"1,131,155",0.70%
Benja Rojas,https://www.instagram.com/rojas_benja,rojas_benja,"1,125,666",2.10%
Rodrigo Mora,https://www.instagram.com/romoriita11,romoriita11,"1,123,296",8.50%
Juan Monaco,https://www.instagram.com/picomonaco,picomonaco,"1,108,985",2.30%
